Country,Region,Year,Adult_mortality,Alcohol_consumption,BMI,Incidents_HIV,Population_mln,Schooling,Life_expectancy,Avg_Immunization,Adult_to_Infant_Mortality_Ratio,GDP_per_capita_log,Thinness_children_adolescents,Child_deaths,Economic_Status_Developing
Turkiye,Middle East,2015,105.824,1.32,27.8,0.08,78.53,7.8,76.5,89.0,8.745785123966943,9.306286713023391,4.85,24.1,True
Spain,European Union,2015,57.9025,10.35,26.0,0.09,46.44,9.7,82.8,96.25,15.649324324324324,10.15591802447523,0.55,6.0,False
India,Asia,2007,201.0765,1.57,21.2,0.13,1183.21,5.0,65.4,56.5,3.8300285714285716,6.981934677156389,27.55,119.4,True
Guyana,South America,2006,222.1965,5.68,25.3,0.79,0.75,7.9,67.0,88.0,6.573860946745563,8.330140460246382,5.6,73.3,True
Israel,Middle East,2012,57.951,2.89,27.0,0.08,7.91,12.8,81.7,93.5,13.170681818181817,10.433998149618517,1.15,7.699999999999999,False
Costa Rica,Central America and Caribbean,2006,95.22,4.19,26.4,0.16,4.35,7.9,78.2,88.0,8.816666666666666,9.117237753713859,1.95,21.0,True
Russian Federation,Rest of Europe,2015,223.0,8.06,26.2,0.08,144.1,12.0,71.2,97.0,29.342105263157897,9.139273923542323,2.3,14.799999999999999,True
Hungary,European Union,2000,192.969,12.23,25.9,0.08,10.21,10.2,71.2,96.25,19.893711340206185,9.101863895640099,2.3,18.799999999999997,False
Jordan,Middle East,2001,129.764,0.52,27.9,0.13,5.22,9.6,71.9,95.0,5.641913043478262,8.21851757748959,3.95,48.1,True
Moldova,Rest of Europe,2008,217.857,7.72,26.5,0.43,2.87,10.9,68.7,93.75,13.365460122699385,7.71244383427499,3.0,33.1,True
Brazil,South America,2012,150.2245,7.12,26.1,0.24,199.29,7.3,74.2,89.25,9.16003048780488,9.111403624116159,2.8,32.6,True
Malta,European Union,2007,58.0185,7.47,27.1,0.08,0.41,9.9,79.8,77.25,8.288357142857143,9.8698790613623,0.7,12.8,False
"Bahamas, The",Central America and Caribbean,2011,165.538,9.23,27.6,0.46,0.36,11.0,72.3,93.25,11.824142857142858,10.374365799192525,2.5,28.2,True
Ukraine,Rest of Europe,2002,261.6095,7.13,25.8,0.55,48.2,10.5,68.3,86.0,17.098660130718955,7.415175109613295,2.95,30.900000000000002,True
Switzerland,Rest of Europe,2006,63.2435,10.24,25.0,0.08,7.48,12.3,81.5,86.75,12.162211538461538,11.281863142786701,0.5,9.100000000000001,False
